i,j,dist_km
Z0284001,Z1169001,27.14923783417838
Z0284001,Z1367001,22.466343123476356
Z0284001,Z1524001,26.363691277274032
Z0284001,Z1665001,37.65227448043197
Z0284001,Z1769001,31.71929013288039
Z0284001,Z1899001,30.83996077939897
Z0284001,Z1899002,30.83996077939897
Z0284001,Z2011001,30.77444926119677
Z0284001,Z2135001,29.842982229050314
Z0284001,Z2135002,29.842982229050314
Z0284001,Z2136001,30.977221547813695
Z0386001,Z0386002,0.0
Z0386001,Z0386003,0.0
Z0386001,Z0386004,0.0
Z0386001,Z0386005,0.0
Z0386001,Z0386006,0.0
Z0386001,Z0386007,0.0
Z0386001,Z0646001,33.81523158150013
Z0386001,Z0646002,33.81523158150013
Z0386001,Z0646003,33.81523158150013
Z0386001,Z0646004,33.81523158150013
Z0386001,Z0899001,34.8373531459686
Z0386001,Z0908001,37.15633267130426
Z0386001,Z0951001,2.059003356642524
Z0386001,Z0951002,2.059003356642524
Z0386001,Z0972001,47.314687091657774
Z0386001,Z1031001,20.74745849425896
Z0386001,Z1031002,20.74745849425896
Z0386001,Z1119001,16.438401948595352
Z0386001,Z1169001,29.803780682901344
Z0386001,Z1367001,24.480078981158627
Z0386001,Z1524001,29.14826172584995
Z0386001,Z1665001,39.24162881252264
Z0386001,Z1769001,34.18289753274898
Z0386001,Z1899001,33.273413704027874
Z0386001,Z1899002,33.273413704027874
Z0386001,Z2011001,33.208320267229
Z0386001,Z2135001,32.33103253553829
Z0386001,Z2135002,32.33103253553829
Z0386001,Z2136001,33.57208565082082
Z0386002,Z0386003,0.0
Z0386002,Z0386004,0.0
Z0386002,Z0386005,0.0
Z0386002,Z0386006,0.0
Z0386002,Z0386007,0.0
Z0386002,Z0646001,33.81523158150013
Z0386002,Z0646002,33.81523158150013
Z0386002,Z0646003,33.81523158150013
Z0386002,Z0646004,33.81523158150013
Z0386002,Z0899001,34.8373531459686
Z0386002,Z0908001,37.15633267130426
Z0386002,Z0951001,2.059003356642524
Z0386002,Z0951002,2.059003356642524
Z0386002,Z0972001,47.314687091657774
Z0386002,Z1031001,20.74745849425896
Z0386002,Z1031002,20.74745849425896
Z0386002,Z1119001,16.438401948595352
Z0386002,Z1169001,29.803780682901344
Z0386002,Z1367001,24.480078981158627
Z0386002,Z1524001,29.14826172584995
Z0386002,Z1665001,39.24162881252264
Z0386002,Z1769001,34.18289753274898
Z0386002,Z1899001,33.273413704027874
Z0386002,Z1899002,33.273413704027874
Z0386002,Z2011001,33.208320267229
Z0386002,Z2135001,32.33103253553829
Z0386002,Z2135002,32.33103253553829
Z0386002,Z2136001,33.57208565082082
Z0386003,Z0386004,0.0
Z0386003,Z0386005,0.0
Z0386003,Z0386006,0.0
Z0386003,Z0386007,0.0
Z0386003,Z0646001,33.81523158150013
Z0386003,Z0646002,33.81523158150013
Z0386003,Z0646003,33.81523158150013
Z0386003,Z0646004,33.81523158150013
Z0386003,Z0899001,34.8373531459686
Z0386003,Z0908001,37.15633267130426
Z0386003,Z0951001,2.059003356642524
Z0386003,Z0951002,2.059003356642524
Z0386003,Z0972001,47.314687091657774
Z0386003,Z1031001,20.74745849425896
Z0386003,Z1031002,20.74745849425896
Z0386003,Z1119001,16.438401948595352
Z0386003,Z1169001,29.803780682901344
Z0386003,Z1367001,24.480078981158627
Z0386003,Z1524001,29.14826172584995
Z0386003,Z1665001,39.24162881252264
Z0386003,Z1769001,34.18289753274898
Z0386003,Z1899001,33.273413704027874
Z0386003,Z1899002,33.273413704027874
Z0386003,Z2011001,33.208320267229
Z0386003,Z2135001,32.33103253553829
Z0386003,Z2135002,32.33103253553829
Z0386003,Z2136001,33.57208565082082
Z0386004,Z0386005,0.0
Z0386004,Z0386006,0.0
Z0386004,Z0386007,0.0
Z0386004,Z0646001,33.81523158150013
Z0386004,Z0646002,33.81523158150013
Z0386004,Z0646003,33.81523158150013
Z0386004,Z0646004,33.81523158150013
Z0386004,Z0899001,34.8373531459686
Z0386004,Z0908001,37.15633267130426
Z0386004,Z0951001,2.059003356642524
Z0386004,Z0951002,2.059003356642524
Z0386004,Z0972001,47.314687091657774
Z0386004,Z1031001,20.74745849425896
Z0386004,Z1031002,20.74745849425896
Z0386004,Z1119001,16.438401948595352
Z0386004,Z1169001,29.803780682901344
Z0386004,Z1367001,24.480078981158627
Z0386004,Z1524001,29.14826172584995
Z0386004,Z1665001,39.24162881252264
Z0386004,Z1769001,34.18289753274898
Z0386004,Z1899001,33.273413704027874
Z0386004,Z1899002,33.273413704027874
Z0386004,Z2011001,33.208320267229
Z0386004,Z2135001,32.33103253553829
Z0386004,Z2135002,32.33103253553829
Z0386004,Z2136001,33.57208565082082
Z0386005,Z0386006,0.0
Z0386005,Z0386007,0.0
Z0386005,Z0646001,33.81523158150013
Z0386005,Z0646002,33.81523158150013
Z0386005,Z0646003,33.81523158150013
Z0386005,Z0646004,33.81523158150013
Z0386005,Z0899001,34.8373531459686
Z0386005,Z0908001,37.15633267130426
Z0386005,Z0951001,2.059003356642524
Z0386005,Z0951002,2.059003356642524
Z0386005,Z0972001,47.314687091657774
Z0386005,Z1031001,20.74745849425896
Z0386005,Z1031002,20.74745849425896
Z0386005,Z1119001,16.438401948595352
Z0386005,Z1169001,29.803780682901344
Z0386005,Z1367001,24.480078981158627
Z0386005,Z1524001,29.14826172584995
Z0386005,Z1665001,39.24162881252264
Z0386005,Z1769001,34.18289753274898
Z0386005,Z1899001,33.273413704027874
Z0386005,Z1899002,33.273413704027874
Z0386005,Z2011001,33.208320267229
Z0386005,Z2135001,32.33103253553829
Z0386005,Z2135002,32.33103253553829
Z0386005,Z2136001,33.57208565082082
Z0386006,Z0386007,0.0
Z0386006,Z0646001,33.81523158150013
Z0386006,Z0646002,33.81523158150013
Z0386006,Z0646003,33.81523158150013
Z0386006,Z0646004,33.81523158150013
Z0386006,Z0899001,34.8373531459686
Z0386006,Z0908001,37.15633267130426
Z0386006,Z0951001,2.059003356642524
Z0386006,Z0951002,2.059003356642524
